Provided by Dr. Julie Moses of SSI in July 2023, her file designation pzuran15lat3n.out.
Atmosphere measured from 1-bar level at equator. 
   N    ALT(KM)      T(K)      DEN(CM-3)  PRESS(MBAR)  G(CM S-2)     H(KM)     K(CM2 S-1)  BMASS(AMU)
  52   1.273E+02   6.781E+01   5.452E+17   5.104E+00   8.577E+02   2.829E+01   2.884E+04   2.324E+00
  53   1.313E+02   6.999E+01   4.604E+17   4.449E+00   8.574E+02   2.921E+01   3.181E+04   2.324E+00
  54   1.353E+02   7.222E+01   3.890E+17   3.878E+00   8.571E+02   3.015E+01   3.508E+04   2.324E+00
  55   1.395E+02   7.449E+01   3.287E+17   3.381E+00   8.568E+02   3.111E+01   3.867E+04   2.324E+00
  56   1.439E+02   7.675E+01   2.781E+17   2.947E+00   8.565E+02   3.207E+01   4.261E+04   2.324E+00
  57   1.483E+02   7.898E+01   2.356E+17   2.569E+00   8.562E+02   3.301E+01   4.692E+04   2.324E+00
  58   1.529E+02   8.115E+01   1.999E+17   2.239E+00   8.559E+02   3.393E+01   5.161E+04   2.324E+00
  59   1.577E+02   8.327E+01   1.698E+17   1.952E+00   8.556E+02   3.483E+01   5.673E+04   2.324E+00
  60   1.625E+02   8.530E+01   1.445E+17   1.701E+00   8.552E+02   3.569E+01   6.230E+04   2.324E+00
  61   1.674E+02   8.727E+01   1.231E+17   1.483E+00   8.549E+02   3.653E+01   6.837E+04   2.324E+00
  62   1.725E+02   8.917E+01   1.050E+17   1.293E+00   8.545E+02   3.734E+01   7.497E+04   2.324E+00
  63   1.777E+02   9.099E+01   8.969E+16   1.127E+00   8.542E+02   3.812E+01   8.214E+04   2.324E+00
  64   1.830E+02   9.277E+01   7.669E+16   9.822E-01   8.538E+02   3.888E+01   8.995E+04   2.324E+00
  65   1.884E+02   9.447E+01   6.564E+16   8.562E-01   8.534E+02   3.962E+01   9.845E+04   2.324E+00
  66   1.938E+02   9.616E+01   5.622E+16   7.463E-01   8.531E+02   4.034E+01   1.077E+05   2.324E+00
  67   1.994E+02   9.781E+01   4.817E+16   6.505E-01   8.527E+02   4.105E+01   1.178E+05   2.324E+00
  68   2.051E+02   9.946E+01   4.129E+16   5.671E-01   8.523E+02   4.177E+01   1.288E+05   2.324E+00
  69   2.109E+02   1.011E+02   3.541E+16   4.943E-01   8.519E+02   4.248E+01   1.408E+05   2.324E+00
  70   2.168E+02   1.028E+02   3.036E+16   4.309E-01   8.515E+02   4.320E+01   1.540E+05   2.324E+00
  71   2.227E+02   1.045E+02   2.604E+16   3.756E-01   8.510E+02   4.393E+01   1.683E+05   2.324E+00
  72   2.288E+02   1.062E+02   2.233E+16   3.274E-01   8.506E+02   4.468E+01   1.840E+05   2.324E+00
  73   2.350E+02   1.079E+02   1.915E+16   2.854E-01   8.502E+02   4.543E+01   2.011E+05   2.324E+00
  74   2.413E+02   1.097E+02   1.642E+16   2.488E-01   8.498E+02   4.621E+01   2.199E+05   2.324E+00
  75   2.477E+02   1.115E+02   1.408E+16   2.168E-01   8.493E+02   4.700E+01   2.404E+05   2.324E+00
  76   2.542E+02   1.134E+02   1.207E+16   1.890E-01   8.489E+02   4.780E+01   2.628E+05   2.324E+00
  77   2.608E+02   1.153E+02   1.035E+16   1.648E-01   8.484E+02   4.862E+01   2.873E+05   2.324E+00
  78   2.675E+02   1.172E+02   8.879E+15   1.436E-01   8.480E+02   4.945E+01   3.141E+05   2.324E+00
