Based on edl_traj_161024_DAC1_LaRC_MC_v2 Nominal Atmosphere								
Altitude referenced to 1 bar at equator: 60268 km								
								
"Altitude, km"		"Temp, deg K"		"Pressure, bars"		"Pressure, hPa"		"Density, kg/m3"
922.50		164.960		4.4960E-08		4.50E-05		7.437700E-09
917.01		165.070		4.8790E-08		4.88E-05		8.067510E-09
911.52		165.100		5.2950E-08		5.30E-05		8.752690E-09
906.05		165.100		5.7450E-08		5.75E-05		9.496740E-09
900.59		165.100		6.2330E-08		6.23E-05		1.030360E-08
895.14		165.020		6.7610E-08		6.76E-05		1.118080E-08
889.70		164.930		7.3320E-08		7.33E-05		1.213260E-08
884.27		164.830		7.9510E-08		7.95E-05		1.316550E-08
878.85		164.590		8.6240E-08		8.62E-05		1.429970E-08
873.44		164.350		9.3520E-08		9.35E-05		1.553000E-08
868.05		164.100		1.0140E-07		1.01E-04		1.686520E-08
862.66		163.820		1.1000E-07		1.10E-04		1.831830E-08
857.29		163.540		1.1920E-07		1.19E-04		1.989840E-08
851.93		163.250		1.2930E-07		1.29E-04		2.161780E-08
846.57		162.930		1.4020E-07		1.40E-04		2.349210E-08
841.23		162.610		1.5210E-07		1.52E-04		2.552110E-08
835.90		162.290		1.6490E-07		1.65E-04		2.772310E-08
830.58		161.970		1.7870E-07		1.79E-04		3.011410E-08
825.27		161.650		1.9380E-07		1.94E-04		3.272140E-08
819.97		161.360		2.1020E-07		2.10E-04		3.555220E-08
814.69		161.080		2.2800E-07		2.28E-04		3.862300E-08
809.41		160.800		2.4720E-07		2.47E-04		4.195020E-08
804.15		160.580		2.6800E-07		2.68E-04		4.554890E-08
798.89		160.360		2.9060E-07		2.91E-04		4.945300E-08
793.65		160.140		3.1510E-07		3.15E-04		5.369540E-08
788.42		160.020		3.4160E-07		3.42E-04		5.826370E-08
783.20		159.900		3.7030E-07		3.70E-04		6.321140E-08
777.99		159.790		4.0150E-07		4.02E-04		6.856760E-08
772.79		159.750		4.3510E-07		4.35E-04		7.433870E-08
767.60		159.720		4.7160E-07		4.72E-04		8.057690E-08
762.43		159.730		5.1100E-07		5.11E-04		8.730470E-08
757.26		159.830		5.5360E-07		5.54E-04		9.452190E-08
752.11		159.930		5.9960E-07		6.00E-04		1.023150E-07
746.96		160.060		6.4930E-07		6.49E-04		1.107070E-07
741.83		160.230		7.0290E-07		7.03E-04		1.197230E-07
736.71		160.400		7.6090E-07		7.61E-04		1.294610E-07
731.60		160.580		8.2340E-07		8.23E-04		1.399460E-07
726.50		160.780		8.9090E-07		8.91E-04		1.512260E-07
721.41		160.980		9.6360E-07		9.64E-04		1.633570E-07
716.33		161.140		1.0420E-06		1.04E-03		1.764550E-07
711.27		161.290		1.1260E-06		1.13E-03		1.905930E-07
706.21		161.440		1.2170E-06		1.22E-03		2.058140E-07
701.17		161.490		1.3160E-06		1.32E-03		2.223610E-07
696.14		161.470		1.4220E-06		1.42E-03		2.403150E-07
691.11		161.440		1.5360E-06		1.54E-03		2.596240E-07
686.10		161.240		1.6590E-06		1.66E-03		2.807680E-07
681.10		160.910		1.7910E-06		1.79E-03		3.038400E-07
676.12		160.580		1.9350E-06		1.94E-03		3.288650E-07
671.14		159.960		2.0910E-06		2.09E-03		3.566810E-07
666.17		159.160		2.2590E-06		2.26E-03		3.873680E-07
661.22		158.340		2.4410E-06		2.44E-03		4.208130E-07
656.27		157.640		2.6390E-06		2.64E-03		4.568460E-07
651.34		157.000		2.8520E-06		2.85E-03		4.957940E-07
646.42		156.360		3.0840E-06		3.08E-03		5.383000E-07
641.51		155.590		3.3360E-06		3.34E-03		5.851150E-07
636.61		154.760		3.6090E-06		3.61E-03		6.363580E-07
631.72		153.930		3.9050E-06		3.91E-03		6.922860E-07
626.85		153.010		4.2270E-06		4.23E-03		7.538530E-07
621.98		152.080		4.5760E-06		4.58E-03		8.211860E-07
617.13		151.140		4.9550E-06		4.96E-03		8.947110E-07
612.28		150.170		5.3690E-06		5.37E-03		9.756400E-07
607.45		149.190		5.8180E-06		5.82E-03		1.064320E-06
602.63		148.200		6.3080E-06		6.31E-03		1.161520E-06
597.82		147.270		6.8410E-06		6.84E-03		1.267810E-06
593.03		146.320		7.4220E-06		7.42E-03		1.384310E-06
588.24		145.400		8.0540E-06		8.05E-03		1.511820E-06
583.47		144.560		8.7450E-06		8.75E-03		1.650880E-06
578.70		143.730		9.4960E-06		9.50E-03		1.803180E-06
573.95		142.930		1.0310E-05		1.03E-02		1.969360E-06
569.21		142.220		1.1210E-05		1.12E-02		2.150350E-06
564.48		141.510		1.2180E-05		1.22E-02		2.348960E-06
559.77		140.890		1.3240E-05		1.32E-02		2.564770E-06
555.06		140.350		1.4400E-05		1.44E-02		2.799400E-06
550.37		139.800		1.5650E-05		1.57E-02		3.054930E-06
545.68		139.390		1.7020E-05		1.70E-02		3.331620E-06
541.01		139.000		1.8500E-05		1.85E-02		3.633010E-06
536.36		138.620		2.0120E-05		2.01E-02		3.961500E-06
531.71		138.340		2.1890E-05		2.19E-02		4.317430E-06
527.07		138.060		2.3800E-05		2.38E-02		4.704580E-06
522.45		137.840		2.5880E-05		2.59E-02		5.123400E-06
517.84		137.740		2.8130E-05		2.81E-02		5.574210E-06
513.24		137.640		3.0590E-05		3.06E-02		6.065140E-06
508.66		137.600		3.3250E-05		3.33E-02		6.594420E-06
504.08		137.600		3.6130E-05		3.61E-02		7.166190E-06
499.52		137.600		3.9260E-05		3.93E-02		7.787240E-06
494.97		137.700		4.2650E-05		4.27E-02		8.453560E-06
490.43		137.810		4.6320E-05		4.63E-02		9.172660E-06
485.91		137.930		5.0280E-05		5.03E-02		9.949390E-06
481.40		138.120		5.4560E-05		5.46E-02		1.078150E-05
476.90		138.310		5.9200E-05		5.92E-02		1.168230E-05
472.42		138.510		6.4220E-05		6.42E-02		1.265320E-05
467.95		138.790		6.9620E-05		6.96E-02		1.368930E-05
463.49		139.070		7.5440E-05		7.54E-02		1.480570E-05
459.04		139.360		8.1730E-05		8.17E-02		1.600550E-05
454.61		139.710		8.8520E-05		8.85E-02		1.729160E-05
450.20		140.050		9.5810E-05		9.58E-02		1.867070E-05
445.79		140.410		1.0370E-04		1.04E-01		2.014950E-05
441.40		140.780		1.1210E-04		1.12E-01		2.173410E-05
437.03		141.140		1.2120E-04		1.21E-01		2.343350E-05
432.67		141.510		1.3100E-04		1.31E-01		2.525590E-05
428.33		141.880		1.4140E-04		1.41E-01		2.720940E-05
424.00		142.240		1.5270E-04		1.53E-01		2.929310E-05
419.69		142.620		1.6470E-04		1.65E-01		3.151930E-05
415.40		143.010		1.7760E-04		1.78E-01		3.389640E-05
411.12		143.410		1.9150E-04		1.92E-01		3.643710E-05
406.85		143.780		2.0630E-04		2.06E-01		3.915990E-05
402.61		144.130		2.2220E-04		2.22E-01		4.207780E-05
398.38		144.490		2.3920E-04		2.39E-01		4.517810E-05
394.17		144.820		2.5730E-04		2.57E-01		4.849080E-05
389.98		145.110		2.7670E-04		2.77E-01		5.203310E-05
385.81		145.410		2.9740E-04		2.97E-01		5.582000E-05
381.66		145.690		3.1960E-04		3.20E-01		5.986300E-05
377.52		145.950		3.4320E-04		3.43E-01		6.416980E-05
373.41		146.210		3.6840E-04		3.68E-01		6.875850E-05
369.32		146.460		3.9520E-04		3.95E-01		7.364510E-05
365.25		146.670		4.2380E-04		4.24E-01		7.886400E-05
361.20		146.870		4.5430E-04		4.54E-01		8.442070E-05
357.18		147.060		4.8670E-04		4.87E-01		9.032730E-05
353.18		147.210		5.2120E-04		5.21E-01		9.662710E-05
349.20		147.330		5.5790E-04		5.58E-01		1.033380E-04
345.25		147.440		5.9690E-04		5.97E-01		1.104870E-04
341.33		147.530		6.3840E-04		6.38E-01		1.180880E-04
337.43		147.550		6.8230E-04		6.82E-01		1.261930E-04
333.56		147.570		7.2890E-04		7.29E-01		1.347940E-04
329.72		147.590		7.7830E-04		7.78E-01		1.439150E-04
325.91		147.560		8.3070E-04		8.31E-01		1.536370E-04
322.13		147.510		8.8620E-04		8.86E-01		1.639600E-04
318.38		147.450		9.4490E-04		9.45E-01		1.748780E-04
315.06		147.410		1.0000E-03		1.0000		1.851390E-04
314.66		147.390		1.0070E-03		1.0070		1.864360E-04
310.97		147.240		1.0720E-03		1.0720		1.987890E-04
307.32		147.090		1.1420E-03		1.1420		2.118450E-04
303.71		146.940		1.2150E-03		1.2150		2.256430E-04
300.13		146.750		1.2920E-03		1.2920		2.402800E-04
296.59		146.510		1.3730E-03		1.3730		2.558330E-04
293.08		146.270		1.4590E-03		1.4590		2.722140E-04
289.62		146.030		1.5490E-03		1.5490		2.894470E-04
286.20		145.750		1.6430E-03		1.6430		3.076870E-04
282.81		145.440		1.7420E-03		1.7420		3.269260E-04
279.48		145.130		1.8460E-03		1.8460		3.471940E-04
276.18		144.830		1.9550E-03		1.9550		3.684780E-04
272.93		144.470		2.0700E-03		2.0700		3.910100E-04
269.73		144.100		2.1900E-03		2.1900		4.147200E-04
266.57		143.730		2.3150E-03		2.3150		4.395200E-04
263.46		143.360		2.4450E-03		2.4450		4.654130E-04
260.40		142.950		2.5800E-03		2.5800		4.926440E-04
257.39		142.490		2.7210E-03		2.7210		5.212560E-04
254.43		142.040		2.8680E-03		2.8680		5.511100E-04
251.52		141.590		3.0210E-03		3.0210		5.823270E-04
248.66		141.150		3.1790E-03		3.1790		6.147700E-04
245.86		140.640		3.3440E-03		3.3440		6.489190E-04
243.11		140.150		3.5140E-03		3.5140		6.842670E-04
240.41		139.660		3.6900E-03		3.6900		7.210930E-04
237.76		139.180		3.8720E-03		3.8720		7.591830E-04
235.17		138.690		4.0590E-03		4.0590		7.986800E-04
232.64		138.190		4.2520E-03		4.2520		8.396890E-04
230.15		137.700		4.4500E-03		4.4500		8.818620E-04
227.73		137.220		4.6540E-03		4.6540		9.255600E-04
225.35		136.750		4.8620E-03		4.8620		9.704190E-04
223.03		136.260		5.0760E-03		5.0760		1.016660E-03
220.76		135.730		5.2950E-03		5.2950		1.064710E-03
218.55		135.220		5.5180E-03		5.5180		1.113820E-03
216.38		134.710		5.7470E-03		5.7470		1.164370E-03
214.27		134.200		5.9810E-03		5.9810		1.216270E-03
212.22		133.710		6.2180E-03		6.2180		1.269140E-03
210.21		133.210		6.4600E-03		6.4600		1.323440E-03
208.25		132.710		6.7050E-03		6.7050		1.378970E-03
206.34		132.210		6.9530E-03		6.9530		1.435340E-03
204.48		131.730		7.2060E-03		7.2060		1.492970E-03
202.66		131.250		7.4630E-03		7.4630		1.551850E-03
200.90		130.790		7.7230E-03		7.7230		1.611450E-03
199.17		130.330		7.9850E-03		7.9850		1.671970E-03
197.49		129.840		8.2520E-03		8.2520		1.734410E-03
195.86		129.370		8.5200E-03		8.5200		1.797490E-03
194.26		128.900		8.7910E-03		8.7910		1.861170E-03
192.71		128.450		9.0640E-03		9.0640		1.925870E-03
191.20		128.000		9.3410E-03		9.3410		1.991510E-03
189.72		127.570		9.6180E-03		9.6180		2.057620E-03
188.29		127.150		9.8960E-03		9.8960		2.124160E-03
186.89		126.710		1.0180E-02		10.180		2.192040E-03
185.52		126.270		1.0460E-02		10.460		2.260860E-03
184.19		125.840		1.0740E-02		10.740		2.330040E-03
182.89		125.430		1.1030E-02		11.030		2.399550E-03
181.62		125.020		1.1310E-02		11.310		2.469800E-03
180.39		124.610		1.1600E-02		11.600		2.541300E-03
179.18		124.220		1.1890E-02		11.890		2.613060E-03
178.01		123.830		1.2180E-02		12.180		2.685050E-03
176.86		123.460		1.2470E-02		12.470		2.757240E-03
175.73		123.070		1.2770E-02		12.770		2.830750E-03
174.64		122.680		1.3060E-02		13.060		2.905240E-03
173.57		122.300		1.3350E-02		13.350		2.979890E-03
172.52		121.930		1.3650E-02		13.650		3.054700E-03
171.50		121.560		1.3940E-02		13.940		3.129620E-03
170.50		121.200		1.4230E-02		14.230		3.205040E-03
169.52		120.850		1.4530E-02		14.530		3.281280E-03
168.57		120.500		1.4820E-02		14.820		3.357620E-03
167.63		120.160		1.5120E-02		15.120		3.434060E-03
166.72		119.830		1.5410E-02		15.410		3.510580E-03
165.82		119.510		1.5710E-02		15.710		3.587180E-03
164.94		119.170		1.6000E-02		16.000		3.664900E-03
164.08		118.840		1.6300E-02		16.300		3.743710E-03
163.23		118.510		1.6600E-02		16.600		3.822630E-03
162.40		118.190		1.6900E-02		16.900		3.901660E-03
161.59		117.870		1.7190E-02		17.190		3.980800E-03
160.79		117.560		1.7490E-02		17.490		4.060050E-03
160.01		117.260		1.7780E-02		17.780		4.139440E-03
159.24		116.950		1.8090E-02		18.090		4.220790E-03
158.48		116.650		1.8390E-02		18.390		4.302310E-03
157.74		116.350		1.8690E-02		18.690		4.383990E-03
157.00		116.060		1.8990E-02		18.990		4.465850E-03
156.28		115.780		1.9290E-02		19.290		4.547890E-03
